date,temp,rh,precp
2015/03/03,22.41,74.96,0
2015/03/04,20.1,74.96,0
2015/03/05,20.61,74.0,0
2015/03/06,20.66,76.25,0
2015/03/07,20.83,75.5,0
2015/03/08,20.52,77.83,0
2015/03/09,21.92,69.38,0
2015/03/10,16.88,72.75,0
2015/03/11,17.35,73.25,0
2015/03/12,17.54,76.25,0
2015/03/13,19.4,75.33,0
2015/03/14,21.88,75.17,0
2015/03/15,24.47,74.83,0
2015/03/16,24.54,82.79,2
2015/03/17,24.97,78.79,0
2015/03/18,24.82,72.83,0
2015/03/19,25.3,74.17,0
2015/03/20,24.2,78.5,0
2015/03/21,23.83,78.21,0
2015/03/22,22.7,73.83,0
2015/03/23,20.83,72.71,4
2015/03/24,20.58,75.83,0
2015/03/25,19.5,76.12,0
2015/03/26,20.82,77.71,0
2015/03/27,22.02,77.75,0
2015/03/28,22.45,66.71,0
2015/03/29,23.81,65.29,0
2015/03/30,25.45,67.79,0
2015/03/31,25.9,77.83,0
2015/04/01,26.07,81.58,0
2015/04/02,26.47,79.12,0
2015/04/03,26.44,79.0,0
2015/04/04,26.61,76.67,0
2015/04/05,27.59,72.33,0
2015/04/06,27.15,74.04,2
2015/04/07,24.7,76.92,0
2015/04/08,20.72,67.38,0
2015/04/09,22.38,67.75,0
2015/04/10,23.13,69.75,0
2015/04/11,18.32,85.71,11
2015/04/12,20.7,83.33,1
2015/04/13,22.11,61.88,0
2015/04/14,20.85,42.17,0
2015/04/15,22.68,57.62,0
2015/04/16,25.34,63.33,0
2015/04/17,25.73,76.88,0
2015/04/18,28.15,75.0,0
2015/04/19,27.93,74.33,0
2015/04/20,27.82,70.21,0
2015/04/21,24.19,85.12,12
2015/04/22,24.14,74.5,0
2015/04/23,24.5,73.12,0
2015/04/24,24.95,78.12,0
2015/04/25,25.48,74.42,0
2015/04/26,25.29,70.46,0
2015/04/27,26.28,70.75,0
2015/04/28,27.48,68.54,0
2015/04/29,26.75,77.33,0
2015/04/30,27.29,74.42,0
2015/05/01,27.37,73.17,0
2015/05/02,27.83,74.88,0
2015/05/03,27.8,76.67,0
2015/05/04,27.99,78.54,4
2015/05/05,26.21,79.54,0
2015/05/06,27.33,77.12,0
2015/05/07,28.18,73.71,0
2015/05/08,28.18,76.0,0
2015/05/09,29.06,74.88,0
2015/05/10,28.57,73.75,0
2015/05/11,27.5,76.58,0
2015/05/12,27.2,80.08,44
2015/05/13,27.53,77.46,0
2015/05/14,28.4,77.25,0
2015/05/15,28.58,77.04,0
2015/05/16,28.8,75.62,0
2015/05/17,28.78,72.83,0
2015/05/18,29.06,73.29,0
2015/05/19,29.43,71.54,0
2015/05/20,27.98,77.88,34
2015/05/21,24.87,85.5,34
2015/05/22,25.4,91.54,24
2015/05/23,25.34,93.88,34
2015/05/24,25.84,95.33,63
2015/05/25,25.76,95.54,22
2015/05/26,26.68,88.38,11
2015/05/27,27.79,82.29,0
2015/05/28,28.16,87.58,18
2015/05/29,29.36,83.92,0
2015/05/30,29.27,84.79,2
2015/05/31,27.34,84.96,8
2015/06/01,28.94,79.38,0
2015/06/02,29.55,78.46,0
2015/06/03,29.72,76.62,0
2015/06/04,29.56,76.54,0
2015/06/05,29.78,76.42,0
2015/06/06,29.42,76.92,0
2015/06/07,29.43,76.08,0
2015/06/08,29.7,71.25,0
2015/06/09,29.94,75.96,0
2015/06/10,30.45,72.67,0
2015/06/11,30.38,74.71,0
2015/06/12,30.73,73.04,0
2015/06/13,30.6,74.5,0
2015/06/14,30.54,73.54,0
2015/06/15,30.51,72.67,0
2015/06/16,30.53,72.71,0
2015/06/17,30.57,73.79,0
2015/06/18,30.64,72.92,0
2015/06/19,31.25,68.08,0
2015/06/20,31.0,69.42,0
2015/06/21,30.53,72.21,0
2015/06/22,31.06,69.42,0
2015/06/23,30.47,71.92,0
2015/06/24,30.93,71.42,0
2015/06/25,30.58,76.83,12
2015/06/26,31.06,75.42,0
2015/06/27,30.78,78.04,7
2015/06/28,31.03,74.5,0
2015/06/29,30.82,74.54,0
2015/06/30,30.85,73.46,0
2015/07/01,30.79,75.79,4
2015/07/02,30.56,79.75,4
2015/07/03,30.73,75.67,0
2015/07/04,30.7,74.54,0
2015/07/05,29.7,80.96,2
2015/07/06,28.83,84.17,1
2015/07/07,27.9,88.83,15
2015/07/08,27.0,92.67,19
2015/07/09,29.4,80.5,0
2015/07/10,28.85,78.96,0
2015/07/11,29.22,81.62,1
2015/07/12,29.17,83.96,2
2015/07/13,28.98,83.54,9
2015/07/14,29.72,75.0,0
2015/07/15,29.6,77.17,0
2015/07/16,30.22,74.33,0
2015/07/17,30.49,71.54,0
2015/07/18,29.05,81.75,10
2015/07/19,26.82,91.58,35
2015/07/20,27.75,84.67,67
2015/07/21,29.63,69.46,0
2015/07/22,27.28,82.08,38
2015/07/23,28.55,78.21,0
2015/07/24,28.77,76.08,0
2015/07/25,29.12,78.54,0
2015/07/26,29.6,77.54,0
2015/07/27,28.33,79.67,16
2015/07/28,27.8,75.0,1
2015/07/29,28.87,73.21,0
2015/07/30,29.29,73.17,0
2015/07/31,29.77,72.67,0
2015/08/01,29.7,75.21,0
2015/08/02,30.07,71.79,0
2015/08/03,30.1,69.0,0
2015/08/04,30.16,68.25,0
2015/08/05,29.8,67.67,0
2015/08/06,29.98,71.79,0
2015/08/07,30.09,76.29,0
2015/08/08,25.25,94.92,152
2015/08/09,26.68,92.71,126
2015/08/10,29.07,80.0,0
2015/08/11,29.4,79.38,0
2015/08/12,29.1,80.46,0
2015/08/13,28.24,81.21,14
2015/08/14,28.27,81.67,16
2015/08/15,28.57,79.25,1
2015/08/16,28.67,82.0,6
2015/08/17,27.73,83.17,16
2015/08/18,29.1,78.46,0
2015/08/19,28.97,79.58,0
2015/08/20,29.26,79.08,0
2015/08/21,30.25,76.88,0
2015/08/22,30.07,79.29,0
2015/08/23,29.08,83.54,2
2015/08/24,29.31,80.04,4
2015/08/25,27.82,85.83,26
2015/08/26,26.58,92.33,56
2015/08/27,26.07,91.88,26
2015/08/28,25.71,89.42,20
2015/08/29,24.6,91.04,89
2015/08/30,25.32,87.67,40
2015/08/31,25.78,86.5,36
2015/09/01,28.02,79.17,0
2015/09/02,28.6,77.79,0
2015/09/03,29.4,72.21,0
2015/09/04,29.5,74.88,0
2015/09/05,29.3,76.12,0
2015/09/06,29.54,78.54,0
2015/09/07,26.5,90.38,50
2015/09/08,27.75,81.17,0
2015/09/09,28.48,74.29,0
2015/09/10,27.94,72.71,0
2015/09/11,28.16,68.12,0
2015/09/12,28.8,66.67,0
2015/09/13,28.8,68.79,0
2015/09/14,28.88,69.5,0
2015/09/15,29.42,71.62,0
2015/09/16,28.99,75.25,0
2015/09/17,28.74,74.46,0
2015/09/18,28.1,69.88,0
2015/09/19,28.07,69.42,0
2015/09/20,28.35,70.58,0
2015/09/21,27.53,80.21,26
2015/09/22,28.7,77.71,0
2015/09/23,29.0,75.17,0
2015/09/24,29.23,78.04,0
2015/09/25,29.47,75.83,0
2015/09/26,29.35,71.29,0
2015/09/27,26.88,68.92,0
2015/09/28,25.73,90.0,46
2015/09/29,27.12,90.04,70
2015/09/30,29.24,77.29,0
2015/10/01,29.04,81.29,0
2015/10/02,28.69,80.46,0
2015/10/03,28.38,81.08,0
2015/10/04,28.6,80.42,0
2015/10/05,28.79,79.38,0
2015/10/06,28.69,76.62,0
2015/10/07,28.33,76.54,0
2015/10/08,28.31,74.46,0
2015/10/09,27.25,79.79,14
2015/10/10,26.87,73.79,0
2015/10/11,25.54,68.0,0
2015/10/12,25.26,68.92,0
2015/10/13,26.24,68.67,0
2015/10/14,24.89,67.46,0
2015/10/15,25.09,69.04,0
2015/10/16,25.85,70.67,0
2015/10/17,26.16,71.21,0
2015/10/18,25.48,71.83,0
2015/10/19,26.25,77.42,0
2015/10/20,26.31,87.5,2
2015/10/21,25.42,93.21,6
2015/10/22,25.67,89.12,10
2015/10/23,26.28,82.54,0
2015/10/24,27.17,82.0,0
2015/10/25,27.52,78.71,0
2015/10/26,26.78,79.83,0
2015/10/27,27.05,74.58,0
2015/10/28,26.7,73.88,0
2015/10/29,26.52,77.79,0
2015/10/30,26.77,74.04,0
2015/10/31,25.28,78.04,0
2015/11/01,24.77,75.46,0
2015/11/02,24.07,73.25,0
2015/11/03,24.68,74.29,0
2015/11/04,25.96,79.75,0
2015/11/05,25.9,82.54,0
2015/11/06,26.22,82.79,0
2015/11/07,26.81,80.29,0
2015/11/08,27.17,79.04,0
2015/11/09,26.73,78.54,0
2015/11/10,25.11,73.96,0
2015/11/11,24.94,72.25,0
2015/11/12,25.98,76.17,0
2015/11/13,26.55,77.58,0
2015/11/14,26.39,77.29,4
2015/11/15,26.41,76.54,0
2015/11/16,26.45,76.75,0
2015/11/17,27.35,73.0,0
2015/11/18,27.65,74.71,0
2015/11/19,26.52,79.04,0
2015/11/20,25.92,78.79,0
2015/11/21,25.55,81.12,0
2015/11/22,25.58,80.17,0
2015/11/23,25.53,80.25,0
2015/11/24,24.58,76.12,0
2015/11/25,23.48,71.33,0
2015/11/26,18.95,55.79,0
2015/11/27,18.49,55.12,0
2015/11/28,21.47,61.5,0
2015/11/29,23.05,72.17,0
2015/11/30,23.01,76.04,0
2015/12/01,23.52,76.17,0
2015/12/02,23.11,79.92,0
2015/12/03,22.19,71.21,0
2015/12/04,21.68,65.38,0
2015/12/05,21.81,72.75,0
2015/12/06,20.79,74.0,0
2015/12/07,20.28,75.96,2
2015/12/08,21.72,72.83,0
2015/12/09,22.36,79.25,1
2015/12/10,21.02,82.25,10
2015/12/11,20.89,74.96,0
2015/12/12,21.45,76.12,0
2015/12/13,22.08,79.12,0
2015/12/14,22.32,80.71,0
2015/12/15,20.08,77.62,0
2015/12/16,16.48,65.62,0
2015/12/17,14.22,57.5,0
2015/12/18,16.45,62.83,0
2015/12/19,18.26,72.79,0
2015/12/20,19.47,81.62,0
2015/12/21,21.43,81.12,0
2015/12/22,21.42,85.46,0
2015/12/23,23.81,75.92,0
2015/12/24,24.17,78.58,0
2015/12/25,20.98,80.5,0
2015/12/26,19.45,76.42,0
2015/12/27,20.25,76.08,0
2015/12/28,18.42,70.88,0
2015/12/29,18.61,69.29,0
2015/12/30,18.73,74.96,0
2015/12/31,18.33,71.83,0
