date,temp,rh,precp
2015/06/07,29.65,77.12,0
2015/06/08,30.0,74.71,0
2015/06/09,30.23,75.25,0
2015/06/10,30.59,74.42,0
2015/06/11,30.49,74.21,0
2015/06/12,30.91,74.17,0
2015/06/13,30.84,76.88,0
2015/06/14,30.9,73.54,0
2015/06/15,31.07,71.62,0
2015/06/16,30.75,73.21,0
2015/06/17,30.98,74.46,0
2015/06/18,31.0,72.75,0
2015/06/19,31.23,73.04,0
2015/06/20,30.87,73.88,0
2015/06/21,31.33,70.92,0
2015/06/22,31.43,70.21,0
2015/06/23,30.22,74.71,8
2015/06/24,NA,NA,NA
2015/06/25,30.73,78.04,2
2015/06/26,31.18,76.62,0
2015/06/27,31.39,75.71,0
2015/06/28,31.3,75.25,0
2015/06/29,31.14,74.25,0
2015/06/30,31.35,72.96,0
2015/07/01,31.22,75.04,6
2015/07/02,31.53,74.71,0
2015/07/03,31.07,73.71,0
2015/07/04,31.21,71.75,0
2015/07/05,30.42,76.04,0
2015/07/06,29.65,78.83,0
2015/07/07,28.29,78.92,20
2015/07/08,27.44,83.67,39
2015/07/09,29.66,79.46,1
2015/07/10,30.1,75.83,0
2015/07/11,29.69,79.42,1
2015/07/12,29.84,81.58,2
2015/07/13,29.44,81.96,27
2015/07/14,29.61,78.58,0
2015/07/15,29.55,78.75,0
2015/07/16,30.1,77.33,0
2015/07/17,30.33,74.79,0
2015/07/18,29.13,78.83,0
2015/07/19,27.73,84.33,36
2015/07/20,28.4,81.04,10
2015/07/21,29.82,73.58,0
2015/07/22,28.52,80.62,36
2015/07/23,28.57,80.25,0
2015/07/24,28.98,76.42,0
2015/07/25,29.28,78.46,6
2015/07/26,29.51,80.17,8
2015/07/27,28.99,77.42,8
2015/07/28,28.35,75.58,0
2015/07/29,29.19,73.54,0
2015/07/30,29.41,74.08,0
2015/07/31,29.6,73.71,0
2015/08/01,30.15,74.12,0
2015/08/02,30.3,72.54,1
2015/08/03,30.16,72.46,0
2015/08/04,30.2,71.42,0
2015/08/05,30.13,69.71,0
2015/08/06,30.18,71.0,0
2015/08/07,30.7,75.46,0
2015/08/08,26.3,89.92,162
2015/08/09,28.22,86.5,60
2015/08/10,29.84,80.08,0
2015/08/11,29.87,79.92,0
2015/08/12,29.33,80.46,0
2015/08/13,28.99,77.33,0
2015/08/14,28.7,79.88,10
2015/08/15,28.85,79.46,8
2015/08/16,29.62,78.08,0
2015/08/17,28.72,77.25,4
2015/08/18,29.05,78.42,2
2015/08/19,28.7,79.33,2
2015/08/20,28.98,80.54,0
2015/08/21,29.33,81.67,0
2015/08/22,29.61,82.71,0
2015/08/23,29.65,79.83,1
2015/08/24,30.3,77.17,0
2015/08/25,28.62,82.92,16
2015/08/26,28.23,83.71,50
2015/08/27,27.0,85.62,28
2015/08/28,26.43,85.42,52
2015/08/29,25.47,85.04,70
2015/08/30,25.82,84.79,21
2015/08/31,25.81,86.88,60
2015/09/01,28.08,81.83,0
2015/09/02,28.85,79.5,0
2015/09/03,29.58,75.54,0
2015/09/04,29.53,76.71,0
2015/09/05,29.42,78.33,0
2015/09/06,29.83,78.5,0
2015/09/07,26.92,86.33,78
2015/09/08,27.9,80.08,0
2015/09/09,28.27,75.54,1
2015/09/10,28.64,71.08,0
2015/09/11,28.61,70.21,0
2015/09/12,28.69,70.92,0
2015/09/13,28.91,70.58,0
2015/09/14,29.07,71.04,0
2015/09/15,29.39,73.71,0
2015/09/16,29.19,77.38,0
2015/09/17,29.24,76.29,0
2015/09/18,28.81,72.79,0
2015/09/19,28.5,69.79,0
2015/09/20,28.62,74.0,0
2015/09/21,28.04,78.42,39
2015/09/22,29.15,77.71,0
2015/09/23,29.24,74.92,0
2015/09/24,29.5,77.62,0
2015/09/25,29.86,78.54,0
2015/09/26,29.79,72.79,0
2015/09/27,28.01,67.83,0
2015/09/28,26.75,81.71,12
2015/09/29,28.73,81.29,10
2015/09/30,30.05,75.79,0
2015/10/01,29.05,79.92,0
2015/10/02,29.21,78.92,0
2015/10/03,29.32,76.62,0
2015/10/04,28.89,80.79,0
2015/10/05,29.17,78.21,0
2015/10/06,29.12,76.42,0
2015/10/07,28.54,76.21,0
2015/10/08,28.57,74.88,0
2015/10/09,28.34,77.46,9
2015/10/10,28.39,73.71,0
2015/10/11,27.34,69.0,0
2015/10/12,26.9,68.25,0
2015/10/13,27.2,71.08,0
2015/10/14,26.68,68.71,0
2015/10/15,26.86,68.75,0
2015/10/16,26.84,68.83,0
2015/10/17,26.99,69.58,0
2015/10/18,27.27,71.58,0
2015/10/19,27.1,76.25,0
2015/10/20,26.52,85.58,12
2015/10/21,25.92,85.88,4
2015/10/22,26.79,83.83,1
2015/10/23,27.55,80.92,0
2015/10/24,28.31,79.58,0
2015/10/25,27.71,80.58,0
2015/10/26,27.58,77.75,0
2015/10/27,27.52,72.04,0
2015/10/28,27.18,75.0,0
2015/10/29,27.35,74.96,0
2015/10/30,27.66,72.75,0
2015/10/31,27.01,76.0,0
2015/11/01,26.12,72.92,0
2015/11/02,25.62,73.08,0
2015/11/03,26.29,73.08,0
2015/11/04,26.86,76.79,0
2015/11/05,26.77,79.62,0
2015/11/06,27.17,80.38,0
2015/11/07,27.53,77.83,0
2015/11/08,27.65,77.96,0
2015/11/09,28.28,76.12,0
2015/11/10,26.94,76.67,0
2015/11/11,26.43,73.42,0
2015/11/12,26.56,77.54,0
2015/11/13,27.46,74.88,0
2015/11/14,27.64,74.42,0
2015/11/15,27.15,76.21,0
2015/11/16,27.03,76.33,0
2015/11/17,27.8,74.25,0
2015/11/18,27.84,75.79,0
2015/11/19,27.3,78.29,0
2015/11/20,26.57,80.79,40
2015/11/21,26.0,77.08,2
2015/11/22,26.11,77.29,0
2015/11/23,26.34,77.67,0
2015/11/24,26.09,75.17,0
2015/11/25,25.07,69.46,0
2015/11/26,21.23,60.33,0
2015/11/27,20.75,57.79,0
2015/11/28,22.91,59.0,0
2015/11/29,24.65,65.5,0
2015/11/30,24.7,72.17,0
2015/12/01,25.0,73.67,0
2015/12/02,24.52,75.12,0
2015/12/03,23.75,74.04,0
2015/12/04,23.81,67.58,0
2015/12/05,23.75,70.38,0
2015/12/06,23.22,69.96,0
2015/12/07,22.93,71.08,0
2015/12/08,23.5,72.79,0
2015/12/09,23.9,73.96,1
2015/12/10,22.62,77.25,26
2015/12/11,22.47,72.46,0
2015/12/12,23.04,73.04,0
2015/12/13,23.45,76.25,0
2015/12/14,23.74,75.96,0
2015/12/15,22.16,76.17,0
2015/12/16,18.59,65.17,0
2015/12/17,17.0,58.67,0
2015/12/18,18.81,62.04,0
2015/12/19,20.13,68.33,0
2015/12/20,21.13,71.33,0
2015/12/21,23.02,72.12,0
2015/12/22,23.42,75.12,0
2015/12/23,24.69,74.08,0
2015/12/24,25.65,73.67,0
2015/12/25,23.71,74.67,0
2015/12/26,21.88,70.17,0
2015/12/27,22.67,69.0,0
2015/12/28,20.62,69.46,0
2015/12/29,20.75,64.17,0
2015/12/30,20.83,68.08,0
2015/12/31,20.35,68.08,0
