區別,里別,'08/03-08/09','08/10-08/16','08/17-08/23','08/24-08/30','08/31-09/06','09/07-09/13','09/14-09/20','09/21-09/27','09/28-10/04','10/05-10/11','10/12-10/18','10/19-10/25','10/26-11/01','11/02-11/08','11/09-11/15','11/16-11/22','11/23-11/29','11/30-12/06'
北區,國姓里,2,7,14,18,5,27,16,8,9,3,1,2,2,3,0,0,1,0
安定區,蘇林里,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
北區,文元里,2,8,15,15,19,32,27,21,18,8,7,6,4,1,0,1,3,1
中西區,民生里,2,7,19,15,13,30,17,22,16,7,4,3,0,0,0,0,0,0
東區,小東里,0,2,1,10,12,16,14,24,18,12,10,2,6,5,4,2,6,0
中西區,天后里,2,0,1,2,5,7,13,31,19,9,3,6,1,2,0,0,2,0
北區,永祥里,13,11,34,24,71,35,48,34,22,11,7,0,2,3,0,1,0,0
北區,大豐里,0,3,2,7,31,71,66,41,40,14,15,2,4,2,1,1,1,0
南區,廣州里,1,1,3,4,7,17,19,27,22,13,6,2,1,1,1,0,0,0
安南區,新順里,0,1,0,2,1,7,9,5,4,3,2,5,0,5,9,2,1,0
北區,開元里,1,2,2,9,16,7,7,13,8,7,6,6,6,0,0,0,0,0
永康區,鹽洲里,0,2,1,3,7,3,4,12,4,8,2,5,1,1,1,4,1,0
北區,長榮里,0,2,1,4,5,12,17,17,9,7,3,2,1,1,0,0,0,0
東區,東明里,0,1,1,2,4,3,3,7,2,6,5,5,3,3,1,1,1,1
北區,元寶里,0,1,2,1,5,5,6,13,8,6,6,0,0,0,0,0,0,0
安南區,總頭里,0,0,0,1,1,0,4,0,5,0,2,1,1,0,0,0,0,0
安南區,安慶里,3,6,7,6,12,8,10,2,5,2,3,1,0,1,1,1,0,0
永康區,中華里,0,0,1,1,3,4,9,10,6,7,5,1,2,1,0,0,1,0
北區,長德里,1,2,3,8,16,11,10,10,5,5,2,1,1,0,0,0,0,0
中西區,公正里,1,0,0,1,3,7,14,16,5,6,5,1,3,5,0,0,0,0
安南區,海西里,0,0,1,3,2,2,3,1,1,1,2,0,0,0,2,0,0,0
中西區,光賢里,0,1,2,4,9,13,33,54,36,12,5,5,3,1,0,0,0,2
永康區,二王里,1,5,5,9,11,30,20,37,15,11,4,4,4,2,0,3,0,0
中西區,普濟里,0,0,0,2,9,4,16,15,15,9,7,5,0,0,0,0,1,0
南區,大忠里,1,0,1,0,3,12,8,20,17,14,7,5,2,1,2,0,0,0
安平區,平通里,0,0,2,3,7,14,11,17,11,8,4,6,6,1,3,2,0,0
安平區,文平里,1,5,6,6,9,8,17,17,11,7,4,3,2,0,3,1,0,0
永康區,六合里,0,0,3,5,7,8,16,10,11,14,12,9,2,4,5,1,0,0
東區,裕農里,3,1,1,4,0,5,9,21,17,7,8,8,13,5,1,1,1,0
南區,同安里,1,1,0,0,5,2,3,1,3,0,1,0,0,2,0,0,0,0
南化區,西埔里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
安南區,安富里,0,3,5,8,15,10,12,10,18,7,5,2,0,1,1,1,0,0
南區,文華里,1,5,9,12,20,33,27,19,13,10,10,1,4,1,0,0,0,0
永康區,北灣里,1,0,2,0,2,7,4,11,4,2,1,3,1,2,1,0,0,0
山上區,南洲里,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
安平區,西門里,1,1,0,0,1,1,1,2,4,1,3,1,2,1,0,0,1,0
永康區,安康里,3,0,9,14,27,27,19,33,28,23,9,4,1,1,2,0,1,3
北區,中樓里,3,3,14,21,23,31,21,40,18,9,4,2,2,1,2,0,1,0
歸仁區,六甲里,1,0,0,0,0,1,1,3,3,1,0,0,0,0,0,0,0,0
北區,三德里,3,2,8,16,25,33,22,12,11,6,1,3,0,1,2,0,0,0
安南區,淵東里,1,0,2,0,0,4,8,6,3,2,1,1,0,0,0,1,0,0
永康區,西勢里,1,1,0,2,3,1,2,2,2,2,1,1,0,0,1,1,0,0
北區,五福里,2,2,5,5,13,17,9,15,10,7,3,3,0,2,0,0,0,0
中西區,民主里,2,2,3,10,20,21,11,7,5,6,1,1,0,0,1,0,0,1
北區,小康里,1,6,20,13,20,39,31,14,23,7,3,0,3,2,0,0,0,0
北區,大港里,2,3,3,5,5,14,31,20,14,16,7,4,4,2,2,0,0,1
中西區,西賢里,1,2,1,4,8,11,13,8,5,3,8,4,3,1,0,0,0,0
善化區,北關里,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
安南區,大安里,1,1,1,2,4,2,7,7,2,7,6,1,4,2,0,0,0,0
中西區,協和里,1,0,0,3,14,19,24,33,28,22,4,1,1,0,0,1,0,0
北區,國興里,1,1,0,4,4,8,15,13,8,5,6,4,0,0,1,1,0,0
北區,玉皇里,1,3,5,13,16,29,28,24,6,5,4,4,2,1,1,1,0,0
南區,南華里,1,4,4,3,7,9,6,9,4,3,1,1,0,5,1,2,0,0
北區,公園里,1,2,2,5,4,16,10,14,11,4,6,4,1,2,0,0,0,0
永康區,鹽行里,3,0,2,2,4,12,14,17,13,15,7,13,1,3,1,1,0,0
南區,金華里,3,1,5,11,21,37,36,45,47,14,15,3,4,5,1,2,0,0
永康區,勝利里,2,2,5,18,17,20,34,56,27,40,25,14,7,4,1,1,2,0
安南區,安和里,2,2,3,2,5,3,8,14,12,10,8,2,5,2,0,0,0,0
中西區,文賢里,1,0,3,6,6,22,20,23,15,4,4,5,0,1,0,0,0,0
永康區,西灣里,1,0,0,0,1,3,4,11,3,7,1,2,4,0,0,0,0,1
中西區,中正里,1,0,6,13,32,46,20,15,5,1,3,2,1,0,1,0,0,0
南區,鯤鯓里,1,0,0,0,0,1,2,2,3,1,2,0,1,0,0,1,0,0
安定區,海寮里,1,0,0,0,0,2,1,2,0,0,1,0,0,0,0,0,0,0
中西區,三民里,2,0,1,2,5,5,14,25,12,8,4,0,1,2,0,1,0,0
安平區,怡平里,1,2,1,0,8,13,6,12,4,4,2,2,1,1,0,0,0,0
中西區,建國里,1,0,3,7,6,9,11,14,9,5,2,2,1,1,0,0,0,0
南區,開南里,1,0,5,12,22,24,16,26,23,6,4,3,2,2,1,2,3,1
安南區,溪北里,2,3,1,1,7,13,23,15,10,3,0,1,1,1,0,0,0,0
仁德區,成功里,1,0,0,2,0,5,3,4,3,2,5,3,0,2,0,1,0,0
北區,興北里,1,3,3,8,11,13,31,23,12,7,2,2,3,2,0,1,0,0
東區,路東里,2,1,0,3,1,2,6,4,4,4,0,2,0,0,0,0,0,0
安南區,溪東里,1,4,5,2,15,13,6,11,11,3,2,0,0,0,0,0,0,0
南區,明亮里,1,2,3,5,11,19,28,41,23,9,9,1,8,3,1,4,0,0
永康區,烏竹里,1,0,0,1,0,0,0,2,2,0,1,1,1,1,0,0,0,0
永康區,五王里,1,1,4,4,28,50,34,39,32,32,27,10,6,1,1,0,2,1
善化區,東關里,1,5,2,1,4,2,0,0,0,1,0,0,0,0,0,0,0,0
南區,喜北里,1,0,0,0,1,5,5,8,7,12,11,7,2,1,1,0,1,0
中西區,保安里,1,1,2,5,11,19,23,18,9,5,2,1,0,0,1,0,0,1
安南區, 安西里,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永康區,尚頂里,1,0,1,4,12,7,14,18,15,10,4,6,3,3,0,0,0,0
北區,華興里,1,1,1,4,4,3,6,21,17,18,12,7,2,0,1,3,0,0
中西區,西湖里,1,0,3,2,9,10,13,14,4,2,5,3,2,0,0,1,0,0
東區,東門里,1,3,2,2,2,3,8,13,4,10,7,6,4,4,3,1,0,0
安南區,學東里,1,0,0,0,2,1,2,1,1,1,1,0,0,0,0,0,0,0
中西區,水仙里,1,0,2,1,12,17,26,21,13,10,8,2,2,0,0,0,0,0
安南區,幸福里,0,1,9,13,9,11,25,36,42,30,12,11,3,2,4,0,0,0
永康區,甲頂里,0,8,6,5,17,17,15,11,5,7,2,0,2,0,2,0,0,0
中西區,郡王里,0,1,0,0,1,5,7,8,4,5,2,4,5,1,0,1,0,0
東區,泉南里,0,2,1,2,3,19,19,22,12,20,10,13,4,4,4,0,0,0
北區,賢北里,0,1,5,1,6,12,14,16,7,8,2,2,4,2,0,0,0,0
南區,新興里,0,3,8,24,19,51,30,28,15,5,7,3,3,4,0,2,0,0
永康區,三合里,0,5,4,2,6,6,5,9,8,7,9,5,2,1,2,1,0,0
中西區,三合里,0,3,10,9,13,21,23,30,18,7,6,1,1,0,0,1,0,0
安南區,海東里,0,1,1,3,1,6,5,13,5,4,5,1,1,0,0,1,0,0
安南區,海南里,0,2,2,5,6,2,3,6,3,7,4,1,1,0,2,1,1,0
南區,新生里,0,1,1,3,2,6,3,2,5,1,1,2,2,1,0,0,0,1
仁德區,中洲里,0,1,0,0,0,1,1,2,1,1,1,0,1,0,0,0,0,0
七股區,義合里,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
北區,振興里,0,4,8,8,8,29,13,18,7,4,6,5,7,2,1,1,0,0
中西區,郡西里,0,1,1,3,6,24,26,12,6,2,3,2,0,1,1,0,0,0
麻豆區,埤頭里,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
永康區,正強里,0,1,1,1,2,5,7,17,9,14,3,2,7,3,1,0,0,0
中西區,安海里,0,3,3,6,25,25,20,12,6,5,5,1,1,0,0,0,0,0
安平區,華平里,0,1,2,3,7,17,10,13,12,7,3,3,2,3,0,0,0,1
南區,光明里,0,1,2,3,5,16,20,25,20,13,10,2,5,3,2,2,0,1
永康區, 大橋里,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
麻豆區,中民里,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
安南區,淵西里,0,1,0,2,2,3,1,9,2,2,0,2,1,0,0,0,0,0
南區,文南里,0,2,2,11,16,45,42,44,26,20,7,5,6,1,0,1,0,1
永康區,龍潭里,0,1,0,5,3,9,2,7,2,6,4,2,2,1,2,1,0,0
南區,國宅里,0,1,1,5,10,35,45,40,21,10,4,4,0,0,0,1,1,0
東區,崇善里,0,1,2,3,2,1,9,13,8,4,10,4,3,4,1,4,2,0
東區,和平里,0,1,0,2,0,9,5,14,10,9,10,12,8,5,3,3,3,1
安南區,州南里,0,2,1,3,1,2,1,3,3,3,2,2,0,0,0,0,0,0
南區,明興里,0,1,1,5,4,15,17,30,21,16,7,4,4,2,3,2,0,0
南區,大恩里,0,4,6,13,8,12,12,8,9,6,3,5,2,0,4,0,0,0
東區,東光里,0,3,1,2,4,12,3,8,7,4,3,6,4,0,1,0,0,0
永康區,復華里,0,1,1,3,6,9,17,10,9,15,12,9,1,1,0,0,1,2
永康區,東橋里,0,1,2,5,4,4,5,8,5,4,5,3,1,0,0,0,0,0
東區,後甲里,0,1,2,1,1,5,8,14,14,11,17,17,2,0,4,2,2,0
安平區,海頭里,0,2,3,0,1,2,6,5,18,3,7,1,2,2,0,1,0,0
安南區,佃西里,0,1,0,0,1,1,4,0,0,2,0,1,0,2,0,0,0,0
東區,裕聖里,0,1,0,1,0,4,5,5,2,7,4,1,3,0,0,2,0,3
佳里區,東寧里,0,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1
東區,關聖里,0,1,0,1,1,2,4,8,3,7,6,8,3,0,0,0,0,0
安南區,海佃里,0,1,1,0,9,22,16,27,20,17,4,10,4,5,1,0,1,0
學甲區,明宜里,0,1,3,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0
永康區,永康里,0,1,0,3,6,6,16,11,4,4,6,3,0,2,1,0,0,0
北區,光武里,0,2,2,1,11,6,5,5,4,5,4,5,1,1,0,0,0,0
北區, 仁愛里,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東區,大學里,0,2,1,3,0,5,9,8,9,4,0,5,6,4,0,0,1,0
北區,重興里,0,1,3,4,6,12,16,15,8,5,12,7,1,2,0,0,0,0
東區,崇明里,0,1,0,0,3,6,5,6,7,9,1,2,2,0,0,0,0,0
善化區,光文里,0,1,1,1,0,2,2,0,1,2,0,2,2,1,0,0,0,0
安南區,原佃里,0,1,2,2,0,0,3,1,0,2,0,0,0,1,0,0,0,0
安南區,佃東里,0,1,2,0,0,0,2,3,3,1,0,0,0,0,0,0,0,0
中西區,藥王里,0,1,1,3,21,36,26,30,20,22,16,7,4,2,1,3,0,0
中西區,永福里,0,1,5,3,2,12,8,13,8,3,4,2,1,3,0,1,0,0
仁德區,新田里,0,1,0,0,0,1,0,3,0,3,0,0,0,0,1,0,0,0
安南區,頂安里,0,1,0,2,6,3,2,8,7,2,2,1,1,1,0,0,0,0
新營區,南紙里,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
善化區,什乃里,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
柳營區,東昇里,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
南區,白雪里,0,0,3,3,5,13,12,21,21,7,2,0,2,2,0,0,0,0
南區,日新里,0,0,1,1,6,13,17,12,15,2,7,1,3,3,0,1,0,1
仁德區,仁愛里,0,0,1,0,1,3,1,1,3,0,0,1,0,2,1,0,0,0
東區,中西里,0,0,1,1,4,8,10,13,7,8,6,6,1,1,2,0,0,0
安南區,長安里,0,0,2,2,2,3,4,3,2,1,1,0,0,1,0,0,0,0
永康區,埔園里,0,0,1,3,4,4,19,17,14,12,5,2,0,1,0,0,0,0
麻豆區,南勢里,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
中西區,進學里,0,0,1,1,3,4,3,6,2,1,0,3,0,0,0,0,0,0
南區,南都里,0,0,2,2,5,4,4,5,6,5,4,3,1,1,0,0,1,0
將軍區,西華里,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
永康區,成功里,0,0,1,0,4,4,4,4,5,3,0,1,1,0,0,0,0,0
永康區,網寮里,0,0,2,1,2,4,1,4,5,3,2,3,0,0,0,0,0,0
北區,東興里,0,0,2,6,5,17,19,12,8,7,3,5,2,0,0,0,0,0
東區,圍下里,0,0,1,2,1,7,5,13,7,2,4,1,0,0,0,1,0,0
安南區,梅花里,0,0,2,4,1,6,8,9,2,3,0,1,0,0,2,0,0,0
北區,新勝里,0,0,1,1,1,6,10,9,17,13,5,4,2,1,0,0,0,0
永康區,西橋里,0,0,3,7,13,25,18,32,13,10,3,12,4,0,0,0,1,0
永康區,王行里,0,0,2,2,0,0,3,1,1,0,0,0,1,0,1,1,0,0
北區,仁愛里,0,0,2,7,11,22,27,26,13,7,7,4,1,1,1,4,0,0
善化區,田寮里,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
麻豆區,麻口里,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
東區,龍山里,0,0,1,4,4,16,11,16,10,14,6,3,0,2,0,0,1,0
南區,省躬里,0,0,1,0,1,1,8,8,3,3,0,0,0,1,0,0,0,0
東區,崇文里,0,0,3,1,2,7,5,11,6,5,6,1,2,0,1,0,0,1
安南區,溪墘里,0,0,2,5,5,10,11,8,7,13,7,3,5,4,1,1,0,0
鹽水區,福得里,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新營區,延平里,0,0,3,7,11,4,2,0,0,0,1,0,0,0,0,0,0,0
安南區,青草里,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
安南區,安西里,0,0,3,2,4,1,4,2,1,6,0,0,1,0,0,0,0,0
東區,成大里,0,0,3,0,10,6,21,14,18,11,6,6,4,3,0,0,1,0
善化區,嘉北里,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
中西區,法華里,0,0,1,3,3,6,4,6,2,3,7,1,2,1,1,0,0,0
東區,富強里,0,0,3,6,4,10,5,13,20,16,8,12,11,6,0,2,1,0
學甲區,秀昌里,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
白河區,蓮潭里,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新市區,三舍里,0,0,3,1,0,1,0,1,0,3,1,0,1,0,0,0,0,0
山上區,平陽里,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
安平區,石門里,0,0,1,1,1,3,4,12,7,7,5,3,4,1,0,1,2,1
中西區,萬昌里,0,0,1,2,4,5,6,15,21,8,3,3,1,0,0,0,1,0
善化區,南關里,0,0,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0
新市區,永就里,0,0,1,0,2,2,2,0,2,0,1,0,0,0,0,0,1,0
東山區,東中里,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佳里區,興化里,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
楠西區,東勢里,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
東區,南聖里,0,0,1,0,0,2,2,12,7,9,7,5,2,0,1,0,1,0
北區,大和里,0,0,1,2,18,20,28,26,26,16,9,5,1,1,0,1,0,0
仁德區,仁義里,0,0,2,1,0,3,3,9,3,1,4,1,1,3,0,0,0,0
東區,莊敬里,0,0,3,4,5,25,14,12,7,11,6,2,1,3,2,1,1,0
南區,田寮里,0,0,4,7,37,84,33,32,20,9,4,7,6,2,2,0,1,1
南區,新昌里,0,0,1,4,13,15,30,17,18,5,4,5,9,2,0,0,0,0
北區,裕民里,0,0,1,2,2,4,8,15,7,7,0,1,0,3,0,0,0,0
中西區,銀同里,0,0,4,2,3,12,10,22,7,6,2,4,0,2,1,0,0,1
東區,自強里,0,0,2,0,4,5,15,11,8,6,6,6,7,5,1,0,1,0
南區,再興里,0,0,1,1,6,13,18,20,16,6,3,2,6,5,3,1,1,0
安南區,國安里,0,0,1,2,1,1,6,7,7,9,6,9,5,3,1,0,0,0
東區,大德里,0,0,1,0,1,1,2,3,6,1,4,2,3,0,2,2,0,0
安南區,理想里,0,0,2,0,1,14,7,11,7,2,6,0,1,1,0,0,0,0
中西區,協進里,0,0,1,0,2,6,8,12,8,5,2,1,1,0,0,0,0,0
安南區,塭南里,0,0,1,0,3,0,3,0,1,2,1,1,1,0,0,0,0,0
東區,大同里,0,0,2,5,9,8,10,13,18,15,15,13,3,2,2,0,0,1
南區,建南里,0,0,2,6,3,14,21,18,6,8,10,11,4,0,1,0,1,0
東區,仁和里,0,0,3,0,3,6,4,10,11,7,9,8,5,2,2,0,0,0
南區,興農里,0,0,1,2,1,1,1,2,0,2,0,1,0,0,0,0,0,1
中西區,元安里,0,0,1,2,3,9,12,11,11,7,3,0,1,0,0,1,0,0
東區,忠孝里,0,0,2,2,3,9,6,9,12,10,10,2,6,3,0,0,1,1
南區,竹溪里,0,0,1,1,4,1,2,7,5,0,3,0,0,2,0,0,0,0
安平區,育平里,0,0,1,5,9,4,13,16,5,6,5,3,5,1,1,0,0,0
新營區,新東里,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
佳里區,鎮山里,0,0,1,3,1,1,1,0,2,1,0,1,0,0,0,0,0,0
麻豆區,興農里,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新營區,好平里,0,0,0,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0
北區,大仁里,0,0,0,3,8,7,11,13,7,2,1,0,2,0,1,0,0,0
歸仁區,南保里,0,0,0,1,1,0,3,2,1,1,2,0,1,0,0,0,0,0
東區,德高里,0,0,0,2,0,6,0,4,3,3,2,2,1,2,2,1,0,1
仁德區,二行里,0,0,0,1,3,3,1,1,3,2,0,0,1,0,0,0,0,0
新營區,民榮里,0,0,0,1,3,4,2,0,0,0,0,0,0,0,0,0,0,0
新營區,嘉芳里,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新營區,南興里,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,1
東區,虎尾里,0,0,0,1,2,2,6,5,6,8,3,7,2,2,3,1,0,0
新化區,北勢里,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
新化區,太平里,0,0,0,2,0,3,1,3,2,1,0,1,1,0,0,0,0,0
仁德區,一甲里,0,0,0,1,0,3,0,1,0,0,0,1,0,0,0,0,0,0
白河區,玉豐里,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
中西區,福安里,0,0,0,6,6,22,25,13,9,7,0,0,2,3,0,1,0,0
歸仁區,西埔里,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0
東區,富裕里,0,0,0,2,6,22,17,15,15,6,6,6,8,2,5,2,1,0
東區,東聖里,0,0,0,3,1,3,5,2,6,13,10,1,1,0,0,1,0,0
永康區,蔦松里,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0
下營區,甲中里,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
永康區,復興里,0,0,0,2,6,1,3,2,0,2,0,1,1,0,0,0,0,0
仁德區,太子里,0,0,0,1,3,6,2,4,5,1,3,0,0,0,0,0,0,0
中西區,大南里,0,0,0,2,3,10,12,12,10,6,5,1,0,0,0,0,0,0
永康區,南灣里,0,0,0,2,1,2,4,0,1,1,0,0,0,1,0,0,1,0
鹽水區,武廟里,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
新營區,大宏里,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0
南區,永寧里,0,0,0,1,1,2,2,3,0,1,0,3,1,0,0,1,1,0
東區,崇誨里,0,0,0,2,2,7,7,22,10,18,10,8,4,8,2,1,0,0
安平區,港仔里,0,0,0,2,1,3,2,10,12,16,7,3,3,2,4,0,0,4
官田區,二鎮里,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
安定區,港南里,0,0,0,2,0,1,0,0,2,0,1,0,0,1,0,0,0,0
歸仁區,歸南里,0,0,0,1,0,0,3,0,1,0,0,1,1,0,0,0,0,0
學甲區,新榮里,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
佳里區,建南里,0,0,0,1,1,3,1,3,0,1,2,0,1,0,0,1,0,0
南區,郡南里,0,0,0,2,13,17,19,21,16,11,8,5,7,6,1,0,2,1
新化區,東榮里,0,0,0,2,2,1,0,2,1,3,1,1,0,2,4,1,3,0
北區,力行里,0,0,0,2,5,5,3,8,11,11,6,6,2,1,0,0,0,0
西港區,竹林里,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
佳里區,通興里,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
歸仁區,媽廟里,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
安南區,布袋里,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0
南區,彰南里,0,0,0,2,0,2,10,12,6,6,4,2,3,4,0,0,0,0
安南區,城東里,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0
柳營區,士林里,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
永康區,?行里,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
仁德區,仁和里,0,0,0,1,0,4,1,1,1,1,0,0,0,0,1,0,0,0
東區,新東里,0,0,0,1,1,20,16,18,11,12,6,8,4,4,3,1,1,0
左鎮區,草山里,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
永康區,三民里,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
東區,衛國里,0,0,0,1,0,0,7,6,4,11,4,3,2,6,0,2,0,0
六甲區,六甲里,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
東區,崇信里,0,0,0,1,3,7,12,15,17,12,10,10,9,2,0,0,0,0
永康區,崑山里,0,0,0,2,3,3,4,5,3,2,2,2,1,1,0,2,0,0
安南區,公親里,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0
學甲區,光華里,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
安南區,城南里,0,0,0,1,1,5,3,0,0,0,0,1,0,0,0,0,0,0
善化區,東隆里,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
東區,大智里,0,0,0,2,2,11,5,10,15,5,6,1,6,3,0,2,2,0
新化區,武安里,0,0,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1
東區,東智里,0,0,0,2,0,1,0,3,1,2,2,2,1,2,2,0,1,0
