CODE2,CODE1,CODEBASE,H_CNT,P_CNT,M_CNT,F_CNT,INFO_TIME
A6701-02,A6701-02-002,A6701-0177-00,19,39,19,20,103Y12M
A6701-02,A6701-02-003,A6701-0199-00,35,103,55,48,103Y12M
A6701-02,A6701-02-003,A6701-0213-00,56,155,74,81,103Y12M
A6701-02,A6701-02-004,A6701-0210-00,78,236,116,120,103Y12M
A6701-02,A6701-02-005,A6701-0230-00,33,108,51,57,103Y12M
A6701-02,A6701-02-006,A6701-0234-00,42,110,59,51,103Y12M
A6701-02,A6701-02-007,A6701-0235-00,41,152,73,79,103Y12M
A6701-02,A6701-02-007,A6701-0274-00,8,18,8,10,103Y12M
A6701-03,A6701-03-001,A6701-0048-00,66,175,78,97,103Y12M
A6701-03,A6701-03-001,A6701-0049-00,36,125,66,59,103Y12M
A6701-03,A6701-03-002,A6701-0050-00,96,293,140,153,103Y12M
A6701-03,A6701-03-003,A6701-0054-00,106,350,181,169,103Y12M
A6701-03,A6701-03-004,A6701-0055-00,46,147,68,79,103Y12M
A6701-03,A6701-03-004,A6701-0062-00,38,131,64,67,103Y12M
A6701-03,A6701-03-005,A6701-0058-00,46,136,71,65,103Y12M
A6701-03,A6701-03-005,A6701-0059-00,36,127,64,63,103Y12M
A6701-03,A6701-03-006,A6701-0061-00,55,185,87,98,103Y12M
A6701-03,A6701-03-007,A6701-0071-00,124,351,159,192,103Y12M
A6701-03,A6701-03-008,A6701-0074-00,52,154,73,81,103Y12M
A6701-03,A6701-03-008,A6701-0077-00,130,443,231,212,103Y12M
A6701-03,A6701-03-009,A6701-0078-00,132,417,197,220,103Y12M
A6701-03,A6701-03-010,A6701-0082-00,83,227,106,121,103Y12M
A6701-03,A6701-03-011,A6701-0083-00,102,325,160,165,103Y12M
A6701-04,A6701-04-001,A6701-0056-00,79,256,130,126,103Y12M
A6701-04,A6701-04-001,A6701-0057-00,55,168,78,90,103Y12M
A6701-04,A6701-04-002,A6701-0053-00,39,121,65,56,103Y12M
A6701-04,A6701-04-002,A6701-0063-00,59,150,67,83,103Y12M
A6701-04,A6701-04-003,A6701-0064-00,48,148,69,79,103Y12M
A6701-04,A6701-04-003,A6701-0065-00,54,155,76,79,103Y12M
A6701-04,A6701-04-004,A6701-0075-00,82,262,131,131,103Y12M
A6701-04,A6701-04-005,A6701-0076-00,48,158,73,85,103Y12M
A6701-04,A6701-04-005,A6701-0086-00,75,228,114,114,103Y12M
A6701-04,A6701-04-006,A6701-0079-00,58,162,89,73,103Y12M
A6701-04,A6701-04-006,A6701-0091-00,67,198,93,105,103Y12M
A6701-04,A6701-04-007,A6701-0085-00,93,273,127,146,103Y12M
A6701-04,A6701-04-008,A6701-0108-00,141,358,156,202,103Y12M
A6701-05,A6701-05-001,A6701-0018-00,98,278,149,129,103Y12M
A6701-05,A6701-05-001,A6701-0020-00,15,51,28,23,103Y12M
A6701-05,A6701-05-002,A6701-0024-00,49,166,83,83,103Y12M
A6701-05,A6701-05-002,A6701-0025-00,10,38,15,23,103Y12M
A6701-05,A6701-05-002,A6701-0034-00,8,30,18,12,103Y12M
A6701-05,A6701-05-003,A6701-0035-00,36,94,44,50,103Y12M
A6701-05,A6701-05-003,A6701-0038-00,39,137,74,63,103Y12M
A6701-05,A6701-05-003,A6701-0040-00,14,52,30,22,103Y12M
A6701-05,A6701-05-004,A6701-0033-00,20,50,23,27,103Y12M
A6701-05,A6701-05-004,A6701-0039-00,36,117,67,50,103Y12M
A6701-05,A6701-05-004,A6701-0046-00,38,104,55,49,103Y12M
A6701-05,A6701-05-005,A6701-0037-00,124,380,195,185,103Y12M
A6701-05,A6701-05-006,A6701-0031-00,6,19,9,10,103Y12M
A6701-05,A6701-05-006,A6701-0043-00,49,164,80,84,103Y12M
A6701-05,A6701-05-006,A6701-0073-00,17,61,35,26,103Y12M
A6701-05,A6701-05-007,A6701-0023-00,3,8,4,4,103Y12M
A6701-05,A6701-05-007,A6701-0026-00,11,30,19,11,103Y12M
A6701-05,A6701-05-007,A6701-0029-00,9,28,14,14,103Y12M
A6701-05,A6701-05-007,A6701-0036-00,32,94,45,49,103Y12M
A6701-05,A6701-05-007,A6701-0060-00,13,44,21,23,103Y12M
A6701-05,A6701-05-007,A6701-0125-00,4,10,5,5,103Y12M
A6701-05,A6701-05-008,A6701-0052-00,78,234,130,104,103Y12M
A6701-05,A6701-05-008,A6701-0067-00,42,132,66,66,103Y12M
A6701-05,A6701-05-009,A6701-0122-00,61,197,96,101,103Y12M
A6701-05,A6701-05-009,A6701-0146-00,40,136,71,65,103Y12M
A6701-05,A6701-05-010,A6701-0159-00,48,179,87,92,103Y12M
A6701-05,A6701-05-010,A6701-0178-00,19,63,32,31,103Y12M
A6701-05,A6701-05-010,A6701-0212-00,9,27,14,13,103Y12M
A6701-05,A6701-05-010,A6701-0256-00,35,87,46,41,103Y12M
A6701-06,A6701-06-001,A6701-0051-00,47,155,71,84,103Y12M
A6701-06,A6701-06-001,A6701-0066-00,122,392,198,194,103Y12M
A6701-06,A6701-06-002,A6701-0069-00,93,289,132,157,103Y12M
A6701-06,A6701-06-003,A6701-0068-00,82,276,129,147,103Y12M
A6701-06,A6701-06-003,A6701-0084-00,38,142,67,75,103Y12M
A6701-06,A6701-06-004,A6701-0081-00,72,226,114,112,103Y12M
A6701-06,A6701-06-005,A6701-0088-00,116,371,175,196,103Y12M
A6701-06,A6701-06-006,A6701-0097-00,62,194,100,94,103Y12M
A6701-06,A6701-06-007,A6701-0114-00,61,197,90,107,103Y12M
A6701-06,A6701-06-008,A6701-0119-00,99,321,178,143,103Y12M
A6701-06,A6701-06-009,A6701-0132-00,78,231,120,111,103Y12M
A6701-06,A6701-06-010,A6701-0139-00,20,71,38,33,103Y12M
A6701-06,A6701-06-011,A6701-0152-00,103,327,149,178,103Y12M
A6701-07,A6701-07-001,A6701-0087-00,118,336,160,176,103Y12M
A6701-07,A6701-07-002,A6701-0123-00,60,182,86,96,103Y12M
A6701-07,A6701-07-003,A6701-0137-00,81,256,114,142,103Y12M
A6701-07,A6701-07-003,A6701-0153-00,39,112,55,57,103Y12M
A6701-07,A6701-07-004,A6701-0151-00,141,376,168,208,103Y12M
A6701-07,A6701-07-005,A6701-0170-00,134,345,171,174,103Y12M
A6701-07,A6701-07-006,A6701-0173-00,76,195,97,98,103Y12M
A6701-07,A6701-07-007,A6701-0168-00,67,185,96,89,103Y12M
A6701-07,A6701-07-007,A6701-0174-00,31,99,45,54,103Y12M
A6701-07,A6701-07-007,A6701-0179-00,49,114,61,53,103Y12M
A6701-07,A6701-07-008,A6701-0175-00,61,191,84,107,103Y12M
A6701-07,A6701-07-009,A6701-0181-00,68,198,103,95,103Y12M
A6701-07,A6701-07-009,A6701-0185-00,47,139,68,71,103Y12M
A6701-08,A6701-08-001,A6701-0080-00,78,223,107,116,103Y12M
A6701-08,A6701-08-001,A6701-0089-00,101,286,130,156,103Y12M
A6701-08,A6701-08-002,A6701-0090-00,44,143,79,64,103Y12M
A6701-08,A6701-08-002,A6701-0096-00,78,222,101,121,103Y12M
A6701-08,A6701-08-003,A6701-0099-00,40,128,60,68,103Y12M
A6701-08,A6701-08-003,A6701-0116-00,79,264,123,141,103Y12M
A6701-08,A6701-08-004,A6701-0109-00,162,447,210,237,103Y12M
A6701-08,A6701-08-005,A6701-0107-00,52,126,55,71,103Y12M
A6701-08,A6701-08-005,A6701-0134-00,73,197,99,98,103Y12M
A6701-08,A6701-08-006,A6701-0124-00,30,96,51,45,103Y12M
A6701-08,A6701-08-006,A6701-0141-00,89,259,133,126,103Y12M
A6701-08,A6701-08-007,A6701-0140-00,147,437,216,221,103Y12M
A6701-08,A6701-08-008,A6701-0143-00,93,276,133,143,103Y12M
A6701-08,A6701-08-009,A6701-0165-00,50,131,63,68,103Y12M
A6701-09,A6701-09-001,A6701-0045-00,64,189,101,88,103Y12M
A6701-09,A6701-09-002,A6701-0072-00,189,522,264,258,103Y12M
A6701-09,A6701-09-003,A6701-0092-00,2,5,3,2,103Y12M
A6701-09,A6701-09-003,A6701-0117-00,105,307,139,168,103Y12M
A6701-09,A6701-09-004,A6701-0101-00,78,230,113,117,103Y12M
A6701-09,A6701-09-005,A6701-0098-00,52,160,84,76,103Y12M
A6701-09,A6701-09-005,A6701-0120-00,61,169,90,79,103Y12M
A6701-09,A6701-09-006,A6701-0121-00,49,157,83,74,103Y12M
A6701-09,A6701-09-007,A6701-0133-00,141,363,171,192,103Y12M
A6701-09,A6701-09-008,A6701-0142-00,111,316,159,157,103Y12M
A6701-09,A6701-09-009,A6701-0155-00,126,366,163,203,103Y12M
A6701-09,A6701-09-010,A6701-0167-00,94,306,166,140,103Y12M
A6701-09,A6701-09-011,A6701-0127-00,91,243,124,119,103Y12M
A6701-09,A6701-09-011,A6701-0183-00,4,19,10,9,103Y12M
A6701-10,A6701-10-001,A6701-0095-00,102,322,155,167,103Y12M
A6701-10,A6701-10-002,A6701-0100-00,72,235,106,129,103Y12M
A6701-10,A6701-10-003,A6701-0103-00,50,158,80,78,103Y12M
A6701-10,A6701-10-003,A6701-0104-00,44,118,58,60,103Y12M
A6701-10,A6701-10-004,A6701-0106-00,49,153,68,85,103Y12M
A6701-10,A6701-10-005,A6701-0111-00,108,324,158,166,103Y12M
A6701-10,A6701-10-006,A6701-0110-00,37,104,48,56,103Y12M
A6701-10,A6701-10-006,A6701-0112-00,55,165,79,86,103Y12M
A6701-10,A6701-10-006,A6701-0118-00,33,97,47,50,103Y12M
A6701-10,A6701-10-007,A6701-0130-00,52,124,59,65,103Y12M
A6701-10,A6701-10-007,A6701-0149-00,54,157,83,74,103Y12M
A6701-10,A6701-10-008,A6701-0162-00,60,149,81,68,103Y12M
A6701-10,A6701-10-009,A6701-0163-00,65,182,88,94,103Y12M
A6701-10,A6701-10-010,A6701-0164-00,78,234,127,107,103Y12M
A6701-10,A6701-10-011,A6701-0166-00,29,69,36,33,103Y12M
A6701-10,A6701-10-011,A6701-0169-00,108,297,153,144,103Y12M
A6701-11,A6701-11-001,A6701-0093-00,30,101,51,50,103Y12M
A6701-11,A6701-11-001,A6701-0094-00,43,112,55,57,103Y12M
A6701-11,A6701-11-002,A6701-0105-00,69,203,97,106,103Y12M
A6701-11,A6701-11-003,A6701-0113-00,79,202,89,113,103Y12M
A6701-11,A6701-11-004,A6701-0115-00,65,184,93,91,103Y12M
A6701-11,A6701-11-005,A6701-0129-00,43,111,55,56,103Y12M
A6701-11,A6701-11-006,A6701-0135-00,141,336,145,191,103Y12M
A6701-11,A6701-11-007,A6701-0126-00,55,151,70,81,103Y12M
A6701-11,A6701-11-007,A6701-0136-00,45,122,55,67,103Y12M
A6701-11,A6701-11-008,A6701-0131-00,69,172,87,85,103Y12M
A6701-11,A6701-11-008,A6701-0147-00,51,95,54,41,103Y12M
A6701-11,A6701-11-009,A6701-0145-00,36,95,50,45,103Y12M
A6701-11,A6701-11-009,A6701-0148-00,79,214,110,104,103Y12M
A6701-11,A6701-11-010,A6701-0156-00,62,158,72,86,103Y12M
A6701-11,A6701-11-011,A6701-0157-00,146,396,193,203,103Y12M
A6701-11,A6701-11-011,A6701-0161-00,99,113,80,33,103Y12M
A6701-11,A6701-11-012,A6701-0171-00,101,278,136,142,103Y12M
A6701-12,A6701-12-001,A6701-0150-00,75,230,113,117,103Y12M
A6701-12,A6701-12-001,A6701-0158-00,54,166,82,84,103Y12M
A6701-12,A6701-12-002,A6701-0180-00,96,284,139,145,103Y12M
A6701-12,A6701-12-003,A6701-0176-00,55,163,78,85,103Y12M
A6701-12,A6701-12-003,A6701-0189-00,76,232,112,120,103Y12M
A6701-12,A6701-12-004,A6701-0194-00,75,227,116,111,103Y12M
A6701-12,A6701-12-004,A6701-0197-00,56,174,85,89,103Y12M
A6701-12,A6701-12-005,A6701-0195-00,190,535,240,295,103Y12M
A6701-12,A6701-12-006,A6701-0217-00,117,260,114,146,103Y12M
A6701-12,A6701-12-007,A6701-0219-00,98,279,145,134,103Y12M
A6701-12,A6701-12-008,A6701-0220-00,77,193,90,103,103Y12M
A6701-12,A6701-12-008,A6701-0227-00,20,61,33,28,103Y12M
A6701-12,A6701-12-009,A6701-0237-00,89,257,117,140,103Y12M
A6701-12,A6701-12-010,A6701-0241-00,94,255,116,139,103Y12M
A6701-13,A6701-13-001,A6701-0144-00,127,373,182,191,103Y12M
A6701-13,A6701-13-002,A6701-0160-00,98,285,137,148,103Y12M
A6701-13,A6701-13-003,A6701-0172-00,153,468,226,242,103Y12M
A6701-13,A6701-13-004,A6701-0191-00,89,283,133,150,103Y12M
A6701-13,A6701-13-005,A6701-0196-00,64,166,84,82,103Y12M
A6701-13,A6701-13-006,A6701-0205-00,62,178,88,90,103Y12M
A6701-13,A6701-13-007,A6701-0204-00,61,200,105,95,103Y12M
A6701-13,A6701-13-007,A6701-0216-00,69,238,135,103,103Y12M
A6701-13,A6701-13-008,A6701-0225-00,51,130,55,75,103Y12M
A6701-13,A6701-13-009,A6701-0224-00,44,130,63,67,103Y12M
A6701-13,A6701-13-009,A6701-0242-00,93,262,133,129,103Y12M
A6701-13,A6701-13-010,A6701-0249-00,182,482,228,254,103Y12M
A6701-14,A6701-14-001,A6701-0187-00,106,318,159,159,103Y12M
A6701-14,A6701-14-002,A6701-0188-00,108,292,145,147,103Y12M
A6701-14,A6701-14-003,A6701-0192-00,157,410,214,196,103Y12M
A6701-14,A6701-14-004,A6701-0186-00,66,174,85,89,103Y12M
A6701-14,A6701-14-004,A6701-0202-00,53,143,64,79,103Y12M
A6701-14,A6701-14-005,A6701-0203-00,67,185,99,86,103Y12M
A6701-14,A6701-14-005,A6701-0221-00,43,109,54,55,103Y12M
A6701-14,A6701-14-005,A6701-0222-00,47,123,64,59,103Y12M
A6701-14,A6701-14-006,A6701-0206-00,19,50,25,25,103Y12M
A6701-14,A6701-14-006,A6701-0233-00,31,95,56,39,103Y12M
A6701-14,A6701-14-007,A6701-0214-00,78,192,97,95,103Y12M
A6701-14,A6701-14-007,A6701-0244-00,95,237,120,117,103Y12M
A6701-14,A6701-14-008,A6701-0236-00,128,411,194,217,103Y12M
A6701-14,A6701-14-009,A6701-0258-00,43,114,62,52,103Y12M
A6701-15,A6701-15-001,A6701-0184-00,173,460,228,232,103Y12M
A6701-15,A6701-15-002,A6701-0182-00,66,158,66,92,103Y12M
A6701-15,A6701-15-002,A6701-0190-00,69,167,72,95,103Y12M
A6701-15,A6701-15-003,A6701-0198-00,34,95,49,46,103Y12M
A6701-15,A6701-15-003,A6701-0211-00,36,116,49,67,103Y12M
A6701-15,A6701-15-004,A6701-0228-00,37,85,39,46,103Y12M
A6701-15,A6701-15-004,A6701-0253-00,69,172,92,80,103Y12M
A6701-15,A6701-15-005,A6701-0251-00,162,427,211,216,103Y12M
A6701-15,A6701-15-006,A6701-0265-00,43,106,44,62,103Y12M
A6701-15,A6701-15-007,A6701-0273-00,136,310,139,171,103Y12M
A6701-15,A6701-15-008,A6701-0282-00,66,176,89,87,103Y12M
A6701-15,A6701-15-009,A6701-0294-00,88,224,86,138,103Y12M
A6701-15,A6701-15-010,A6701-0297-00,65,156,68,88,103Y12M
A6701-15,A6701-15-011,A6701-0299-00,80,199,99,100,103Y12M
A6701-15,A6701-15-012,A6701-0310-00,79,183,85,98,103Y12M
A6701-16,A6701-16-001,A6701-0193-00,227,523,244,279,103Y12M
A6701-16,A6701-16-002,A6701-0200-00,62,159,73,86,103Y12M
A6701-16,A6701-16-002,A6701-0218-00,67,165,79,86,103Y12M
A6701-16,A6701-16-002,A6701-0223-00,51,154,79,75,103Y12M
A6701-16,A6701-16-003,A6701-0239-00,68,211,102,109,103Y12M
A6701-16,A6701-16-004,A6701-0240-00,40,105,54,51,103Y12M
A6701-16,A6701-16-004,A6701-0260-00,51,116,55,61,103Y12M
A6701-16,A6701-16-005,A6701-0257-00,119,305,149,156,103Y12M
A6701-16,A6701-16-006,A6701-0248-00,50,135,68,67,103Y12M
A6701-16,A6701-16-006,A6701-0272-00,91,225,117,108,103Y12M
A6701-16,A6701-16-007,A6701-0267-00,106,243,120,123,103Y12M
A6701-16,A6701-16-007,A6701-0268-00,60,149,81,68,103Y12M
A6701-16,A6701-16-008,A6701-0285-00,150,411,217,194,103Y12M
A6701-16,A6701-16-009,A6701-0287-00,63,137,73,64,103Y12M
A6701-17,A6701-17-001,A6701-0232-00,89,217,106,111,103Y12M
A6701-17,A6701-17-002,A6701-0208-00,1,2,1,1,103Y12M
A6701-17,A6701-17-002,A6701-0250-00,88,223,117,106,103Y12M
A6701-17,A6701-17-003,A6701-0246-00,117,278,154,124,103Y12M
A6701-17,A6701-17-004,A6701-0252-00,69,197,109,88,103Y12M
A6701-17,A6701-17-005,A6701-0261-00,121,368,188,180,103Y12M
A6701-17,A6701-17-006,A6701-0262-00,91,254,125,129,103Y12M
A6701-17,A6701-17-007,A6701-0263-00,43,127,62,65,103Y12M
A6701-17,A6701-17-008,A6701-0276-00,53,124,67,57,103Y12M
A6701-17,A6701-17-008,A6701-0279-00,45,126,69,57,103Y12M
A6701-17,A6701-17-009,A6701-0271-00,62,184,80,104,103Y12M
A6701-17,A6701-17-009,A6701-0284-00,84,206,106,100,103Y12M
A6701-17,A6701-17-010,A6701-0281-00,74,181,89,92,103Y12M
A6701-17,A6701-17-011,A6701-0269-00,65,175,86,89,103Y12M
A6701-17,A6701-17-011,A6701-0286-00,88,190,101,89,103Y12M
A6701-18,A6701-18-001,A6701-0207-00,89,270,141,129,103Y12M
A6701-18,A6701-18-002,A6701-0209-00,140,401,212,189,103Y12M
A6701-18,A6701-18-003,A6701-0215-00,43,114,50,64,103Y12M
A6701-18,A6701-18-003,A6701-0226-00,57,164,80,84,103Y12M
A6701-18,A6701-18-004,A6701-0229-00,106,320,155,165,103Y12M
A6701-18,A6701-18-005,A6701-0231-00,134,381,183,198,103Y12M
A6701-18,A6701-18-006,A6701-0238-00,54,185,92,93,103Y12M
A6701-18,A6701-18-006,A6701-0243-00,59,177,79,98,103Y12M
A6701-18,A6701-18-007,A6701-0254-00,112,309,149,160,103Y12M
A6701-18,A6701-18-007,A6701-0255-00,3,7,2,5,103Y12M
A6701-18,A6701-18-007,A6701-0270-00,119,318,160,158,103Y12M
A6701-18,A6701-18-008,A6701-0275-00,80,218,108,110,103Y12M
A6701-19,A6701-19-001,A6701-0266-00,119,308,141,167,103Y12M
A6701-19,A6701-19-002,A6701-0277-00,113,348,181,167,103Y12M
A6701-19,A6701-19-002,A6701-0288-00,33,99,54,45,103Y12M
A6701-19,A6701-19-003,A6701-0278-00,79,221,106,115,103Y12M
A6701-19,A6701-19-004,A6701-0280-00,105,248,108,140,103Y12M
A6701-19,A6701-19-005,A6701-0289-00,180,428,183,245,103Y12M
A6701-19,A6701-19-005,A6701-0291-00,29,78,43,35,103Y12M
A6701-19,A6701-19-006,A6701-0293-00,58,174,89,85,103Y12M
A6701-19,A6701-19-007,A6701-0290-00,97,263,129,134,103Y12M
A6701-19,A6701-19-007,A6701-0307-00,50,150,71,79,103Y12M
A6701-19,A6701-19-008,A6701-0302-00,68,212,104,108,103Y12M
A6701-19,A6701-19-008,A6701-0317-00,56,130,70,60,103Y12M
A6701-19,A6701-19-009,A6701-0316-00,152,390,181,209,103Y12M
A6701-20,A6701-20-001,A6701-0296-00,73,166,88,78,103Y12M
A6701-20,A6701-20-001,A6701-0300-00,49,133,68,65,103Y12M
A6701-20,A6701-20-002,A6701-0298-00,96,247,119,128,103Y12M
A6701-20,A6701-20-003,A6701-0305-00,112,275,136,139,103Y12M
A6701-20,A6701-20-004,A6701-0295-00,56,155,85,70,103Y12M
A6701-20,A6701-20-004,A6701-0314-00,77,177,96,81,103Y12M
A6701-20,A6701-20-005,A6701-0308-00,81,215,107,108,103Y12M
A6701-20,A6701-20-005,A6701-0320-00,70,175,78,97,103Y12M
A6701-20,A6701-20-006,A6701-0322-00,137,326,155,171,103Y12M
A6701-20,A6701-20-007,A6701-0323-00,147,379,213,166,103Y12M
A6701-20,A6701-20-008,A6701-0326-00,70,183,78,105,103Y12M
A6701-20,A6701-20-009,A6701-0327-00,128,329,159,170,103Y12M
A6701-21,A6701-21-001,A6701-0292-00,48,122,56,66,103Y12M
A6701-21,A6701-21-002,A6701-0303-00,68,171,84,87,103Y12M
A6701-21,A6701-21-003,A6701-0304-00,48,127,62,65,103Y12M
A6701-21,A6701-21-004,A6701-0306-00,146,337,152,185,103Y12M
A6701-21,A6701-21-005,A6701-0301-00,44,100,56,44,103Y12M
A6701-21,A6701-21-005,A6701-0309-00,44,94,50,44,103Y12M
A6701-21,A6701-21-006,A6701-0311-00,88,236,108,128,103Y12M
A6701-21,A6701-21-007,A6701-0312-00,160,399,212,187,103Y12M
A6701-21,A6701-21-008,A6701-0313-00,78,208,102,106,103Y12M
A6701-21,A6701-21-009,A6701-0318-00,70,173,87,86,103Y12M
A6701-21,A6701-21-010,A6701-0319-00,134,282,150,132,103Y12M
A6701-21,A6701-21-011,A6701-0325-00,64,166,84,82,103Y12M
A6701-21,A6701-21-012,A6701-0336-00,86,191,102,89,103Y12M
A6701-21,A6701-21-013,A6701-0324-00,34,91,49,42,103Y12M
A6701-21,A6701-21-013,A6701-0332-00,47,91,39,52,103Y12M
A6701-21,A6701-21-013,A6701-0341-00,57,112,58,54,103Y12M
A6701-22,A6701-22-001,A6701-0328-00,73,168,87,81,103Y12M
A6701-22,A6701-22-001,A6701-0330-00,45,129,67,62,103Y12M
A6701-22,A6701-22-002,A6701-0339-00,122,318,162,156,103Y12M
A6701-22,A6701-22-003,A6701-0340-00,65,166,77,89,103Y12M
A6701-22,A6701-22-004,A6701-0343-00,53,131,62,69,103Y12M
A6701-22,A6701-22-004,A6701-0348-00,98,225,116,109,103Y12M
A6701-22,A6701-22-005,A6701-0345-00,185,402,198,204,103Y12M
A6701-22,A6701-22-006,A6701-0347-00,132,312,163,149,103Y12M
A6701-22,A6701-22-007,A6701-0349-00,100,248,123,125,103Y12M
A6701-22,A6701-22-008,A6701-0352-00,175,433,198,235,103Y12M
A6701-22,A6701-22-009,A6701-0353-00,81,214,103,111,103Y12M
A6701-23,A6701-23-001,A6701-0329-00,90,273,141,132,103Y12M
A6701-23,A6701-23-002,A6701-0321-00,43,126,54,72,103Y12M
A6701-23,A6701-23-002,A6701-0333-00,29,69,33,36,103Y12M
A6701-23,A6701-23-002,A6701-0337-00,17,53,25,28,103Y12M
A6701-23,A6701-23-003,A6701-0342-00,38,110,59,51,103Y12M
A6701-23,A6701-23-003,A6701-0350-00,20,40,22,18,103Y12M
A6701-23,A6701-23-004,A6701-0344-00,14,39,20,19,103Y12M
A6701-23,A6701-23-004,A6701-0356-00,119,272,141,131,103Y12M
A6701-23,A6701-23-004,A6701-0361-00,22,66,31,35,103Y12M
A6701-23,A6701-23-005,A6701-0355-00,37,113,60,53,103Y12M
A6701-23,A6701-23-005,A6701-0357-00,68,211,99,112,103Y12M
A6701-23,A6701-23-006,A6701-0360-00,144,399,171,228,103Y12M
A6701-23,A6701-23-007,A6701-0363-00,78,230,115,115,103Y12M
A6701-23,A6701-23-008,A6701-0364-00,122,340,170,170,103Y12M
A6701-23,A6701-23-009,A6701-0368-00,53,155,76,79,103Y12M
A6701-23,A6701-23-009,A6701-0369-00,89,260,123,137,103Y12M
A6701-24,A6701-24-001,A6701-0245-00,19,64,33,31,103Y12M
A6701-24,A6701-24-001,A6701-0247-00,15,41,21,20,103Y12M
A6701-24,A6701-24-001,A6701-0264-00,25,73,36,37,103Y12M
A6701-24,A6701-24-002,A6701-0315-00,6,22,11,11,103Y12M
A6701-24,A6701-24-002,A6701-0362-00,24,72,43,29,103Y12M
A6701-24,A6701-24-002,A6701-0375-00,81,257,141,116,103Y12M
A6701-24,A6701-24-003,A6701-0334-00,2,2,1,1,103Y12M
A6701-24,A6701-24-003,A6701-0365-00,23,72,32,40,103Y12M
A6701-24,A6701-24-003,A6701-0372-00,35,91,42,49,103Y12M
A6701-24,A6701-24-003,A6701-0373-00,42,116,55,61,103Y12M
A6701-24,A6701-24-003,A6701-0379-00,54,134,66,68,103Y12M
A6701-24,A6701-24-004,A6701-0370-00,46,148,77,71,103Y12M
A6701-24,A6701-24-004,A6701-0377-00,55,144,72,72,103Y12M
A6701-24,A6701-24-005,A6701-0378-00,58,159,90,69,103Y12M
A6701-24,A6701-24-005,A6701-0381-00,73,199,98,101,103Y12M
A6701-24,A6701-24-006,A6701-0384-00,81,209,116,93,103Y12M
A6701-24,A6701-24-007,A6701-0382-00,14,46,23,23,103Y12M
A6701-24,A6701-24-007,A6701-0385-00,36,104,56,48,103Y12M
A6701-24,A6701-24-007,A6701-0387-00,20,53,21,32,103Y12M
A6701-24,A6701-24-007,A6701-0394-00,36,122,71,51,103Y12M
A6701-25,A6701-25-001,A6701-0283-00,126,372,199,173,103Y12M
A6701-25,A6701-25-001,A6701-0331-00,6,23,11,12,103Y12M
A6701-25,A6701-25-002,A6701-0335-00,110,307,152,155,103Y12M
A6701-25,A6701-25-003,A6701-0346-00,54,165,94,71,103Y12M
A6701-25,A6701-25-003,A6701-0354-00,48,141,70,71,103Y12M
A6701-25,A6701-25-003,A6701-0359-00,87,210,96,114,103Y12M
A6701-25,A6701-25-004,A6701-0358-00,141,368,175,193,103Y12M
A6701-25,A6701-25-005,A6701-0367-00,71,210,98,112,103Y12M
A6701-25,A6701-25-006,A6701-0371-00,126,372,190,182,103Y12M
A6701-25,A6701-25-007,A6701-0338-00,75,222,107,115,103Y12M
