區別,里別,'10/01-10/07','10/08-10/14','10/15-10/21','10/22-10/28','10/29-11/04','11/05-11/11','11/12-11/18','11/19-11/25','11/26-12/02','12/03-12/09','12/10-12/16','12/17-12/23','12/24-12/30','12/31-01/06','01/07-01/13','01/14-01/20','01/21-01/27','01/28-02/03','02/04-02/10'
三民區,鼎金里,0,3,2,4,3,5,5,4,2,5,0,1,1,0,0,0,0,0,0
三民區,德東里,2,1,3,7,4,4,3,2,0,0,0,0,0,0,0,0,0,0,0
左營區,新下里,6,7,12,10,22,13,26,11,7,4,3,1,0,2,0,0,0,0,0
苓雅區,苓洲里,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0
前鎮區,鎮海里,1,0,3,2,2,7,13,8,9,5,3,1,1,1,0,0,0,0,0
楠梓區,稔田里,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
三民區,灣華里,1,0,3,3,5,4,7,2,2,4,0,1,2,1,0,0,1,0,0
楠梓區,惠豐里,0,1,2,2,4,3,1,1,0,1,2,1,0,0,0,0,0,0,0
苓雅區,尚義里,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
仁武區,竹後里,0,2,1,6,7,5,5,3,1,0,1,0,1,0,0,0,0,0,0
前金區,文東里,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0
苓雅區,五權里,0,2,5,2,1,3,3,7,6,4,3,0,1,1,0,0,0,0,0
橋頭區,仕和里,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
小港區,鳳源里,0,0,0,1,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0
林園區,西溪里,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0
苓雅區,永康里,0,4,1,3,2,0,2,13,3,2,2,1,2,0,0,0,0,0,0
鳳山區,鎮南里,3,5,2,5,3,8,26,27,12,5,5,1,3,0,0,0,0,0,0
苓雅區,奏捷里,0,1,0,2,3,5,6,3,3,3,1,2,0,1,0,0,0,0,0
前鎮區,明孝里,0,1,0,2,1,3,2,4,2,1,0,1,1,1,0,0,0,0,0
仁武區,灣內里,1,0,1,2,2,2,0,2,3,1,2,0,0,0,0,1,0,0,0
三民區,正興里,5,2,2,0,8,6,10,7,9,11,7,1,0,1,0,1,0,0,0
楠梓區,和昌里,1,2,2,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0
鼓山區,厚生里,4,10,53,39,16,3,3,1,1,2,1,2,0,0,0,0,0,0,0
左營區,果峰里,4,4,4,4,5,4,1,10,5,2,5,0,0,0,0,0,0,0,0
新興區,榮治里,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
鳳山區,縣衙里,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0
鼓山區,忠正里,0,3,1,6,1,6,11,28,8,15,9,4,1,1,1,1,0,0,0
燕巢區,安招里,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
三民區,本和里,1,2,5,7,5,3,7,8,6,0,3,3,0,1,0,0,0,0,0
楠梓區,宏毅里,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0
前鎮區,草衙里,1,3,15,11,16,24,32,36,25,20,3,5,3,2,1,1,0,0,0
鳳山區,老爺里,0,0,0,0,1,0,9,11,8,11,3,2,1,2,0,0,1,1,0
小港區,三苓里,3,19,6,4,3,4,6,10,6,5,2,1,3,0,0,1,0,0,0
旗津區,南汕里,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小港區,泰山里,0,0,1,0,2,2,2,6,1,3,0,0,0,1,0,0,0,0,0
鳳山區,曹公里,0,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0
橋頭區,東林里,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
鳥松區,鳥松里,2,2,2,6,3,3,2,8,0,2,2,0,1,0,0,0,0,0,0
美濃區,祿興里,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
前鎮區,瑞文里,0,1,2,0,0,7,5,8,2,2,0,4,1,0,0,0,0,0,1
鳳山區,忠孝里,1,2,3,0,2,2,4,9,1,5,0,1,1,0,0,0,0,0,0
鳳山區,文福里,1,1,2,4,3,4,4,11,5,4,1,1,1,0,1,0,0,0,0
苓雅區,正大里,2,1,0,3,8,11,5,6,5,3,3,2,0,0,0,1,1,0,0
岡山區,程香里,0,0,0,0,1,1,1,2,1,0,0,6,2,1,0,0,0,0,0
三民區,德行里,4,2,0,1,3,5,9,0,0,1,1,0,0,0,0,0,0,0,0
前鎮區,鎮榮里,0,0,0,1,7,4,8,3,3,4,1,1,2,1,1,0,0,0,0
楠梓區,隆昌里,0,0,2,0,0,3,6,5,1,0,0,1,0,0,1,0,0,0,0
楠梓區,宏榮里,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0
楠梓區,泰昌里,0,0,0,1,2,0,1,9,3,1,0,0,0,0,0,0,0,0,0
楠梓區,仁昌里,0,0,2,1,2,0,2,1,1,2,1,0,2,1,0,0,0,0,0
鼓山區,民強里,0,0,3,11,2,3,5,8,8,2,2,0,0,1,1,3,0,0,0
楠梓區,東寧里,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
楠梓區,藍田里,0,1,1,2,5,2,4,0,1,1,1,2,0,0,0,0,0,0,0
鼓山區,桃源里,0,0,2,1,1,1,1,0,3,3,3,0,0,1,0,0,0,0,0
三民區,安和里,0,1,2,3,6,5,3,5,3,5,1,1,0,0,0,0,0,0,0
鼓山區,山下里,0,1,1,5,2,1,0,0,0,2,0,0,0,1,0,0,0,0,0
楠梓區,盛昌里,0,0,0,1,1,1,1,4,4,19,13,2,1,0,0,0,0,0,0
左營區,光輝里,1,0,0,3,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0
楠梓區,宏南里,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
楠梓區,慶昌里,0,0,0,1,0,2,0,2,0,1,1,3,0,0,0,0,0,0,0
楠梓區,裕昌里,1,0,1,0,1,0,2,5,3,0,0,1,0,0,0,0,0,0,0
左營區,屏山里,1,0,0,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0
左營區,新上里,5,7,10,12,24,29,20,24,21,9,8,3,1,0,1,0,0,1,0
楠梓區,翠屏里,2,3,1,3,1,3,7,5,7,1,2,1,0,1,0,1,0,0,0
楠梓區,建昌里,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0
仁武區,文武里,0,1,2,1,5,2,1,3,1,3,1,0,1,2,0,1,0,0,0
三民區,達明里,1,0,1,0,2,2,6,8,2,4,1,2,0,1,1,0,0,0,0
左營區,自助里,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
楠梓區,興昌里,0,1,1,1,1,1,1,3,1,2,1,0,0,1,0,0,0,0,0
三民區,達勇里,0,3,0,1,5,6,5,1,4,2,0,1,1,1,0,0,0,0,0
仁武區,烏林里,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
左營區,頂北里,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鼓山區,龍水里,1,3,4,6,13,5,6,12,8,10,4,2,2,2,1,2,0,0,1
岡山區,後協里,0,0,2,0,0,2,2,2,2,1,1,0,1,0,1,0,0,0,0
三民區,鼎西里,7,17,6,11,6,17,22,28,8,8,6,0,0,0,2,0,0,0,0
前鎮區,瑞竹里,0,0,0,2,1,0,1,0,3,0,1,0,0,0,0,0,0,0,0
大寮區,山頂里,0,0,0,2,0,6,6,6,1,2,1,1,1,0,0,0,1,0,0
路竹區,竹南里,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
左營區,福山里,4,0,2,8,11,10,17,11,10,12,7,6,2,0,2,0,1,0,0
三民區,寶國里,2,2,9,8,10,16,17,11,13,12,7,3,3,1,0,0,1,0,0
前鎮區,平等里,2,0,4,1,0,1,4,1,0,4,1,4,0,0,0,0,0,0,0
茄萣區,嘉樂里,5,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大社區,保安里,0,0,1,1,1,1,0,2,2,0,0,1,0,0,0,0,0,0,0
左營區,頂西里,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
美濃區,瀰濃里,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
鳥松區,夢裡里,0,0,1,0,5,0,2,1,1,0,1,0,1,0,0,0,0,0,0
鳳山區,瑞竹里,1,0,0,0,1,1,1,0,1,2,4,4,0,0,0,0,0,0,0
前金區,東金里,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
左營區,埤東里,2,1,2,3,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0
新興區,振成里,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
三民區,鼎強里,13,6,4,10,7,2,7,10,4,1,1,2,2,1,0,0,0,0,0
三民區,安邦里,4,1,7,9,21,18,9,11,6,7,1,1,0,0,0,0,0,0,0
阿蓮區,南蓮里,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0
鼓山區,建國里,1,4,6,10,15,6,7,7,1,1,1,0,0,0,0,0,0,0,0
鳳山區,埤頂里,2,2,1,3,1,3,1,1,2,3,3,4,0,0,0,0,0,0,0
林園區,港嘴里,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
三民區,鼎中里,10,10,6,3,5,11,12,12,5,2,1,1,0,0,0,0,0,0,0
苓雅區,福居里,0,0,2,0,3,4,8,4,10,2,4,0,1,0,1,0,1,0,0
鼓山區,內惟里,0,0,0,3,0,4,5,8,3,0,0,1,0,0,0,0,0,0,0
三民區,本揚里,0,0,5,3,3,2,8,14,8,4,4,5,0,0,0,1,0,0,0
旗津區,復興里,0,0,0,0,0,1,0,0,1,1,2,0,1,1,0,0,0,0,0
左營區,尾北里,1,7,1,0,0,1,1,1,1,2,0,0,0,0,0,0,0,0,0
鳳山區,鎮東里,0,0,0,0,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0
三民區,德北里,2,2,0,3,4,2,4,2,1,0,1,2,0,0,0,0,0,0,0
仁武區,中華里,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,2,0,0,0
三民區,鼎力里,2,2,0,2,15,15,38,13,6,6,0,0,1,0,0,0,0,0,0
三民區,本元里,5,6,8,4,4,4,3,8,2,0,3,1,0,1,1,0,0,0,0
三民區,鼎盛里,3,9,6,4,2,7,10,12,8,0,0,0,0,0,0,0,0,0,0
三民區,寶玉里,2,5,7,3,5,5,3,8,5,2,1,1,0,0,0,0,1,0,1
路竹區,甲南里,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
路竹區,竹滬里,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
大社區,神農里,0,1,2,1,0,4,2,4,1,5,1,0,0,0,0,0,0,0,0
三民區,德智里,0,1,1,0,8,2,4,2,3,1,1,1,1,2,0,1,0,0,0
三民區,本武里,1,0,1,2,1,1,2,2,6,3,1,0,0,1,0,0,0,0,0
仁武區,赤山里,2,0,1,2,0,3,1,0,4,1,5,1,1,1,0,0,0,0,0
仁武區,高楠里,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
新興區,文昌里,0,2,1,4,0,0,2,2,3,0,2,0,0,1,0,0,0,0,0
路竹區,社南里,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
鳳山區,鎮北里,2,2,0,0,4,1,3,2,3,2,3,0,3,0,0,0,0,0,0
鳳山區,龍成里,0,1,0,3,8,4,18,5,4,3,3,2,1,1,0,0,0,0,0
鳳山區,海洋里,1,1,1,3,2,0,5,3,0,1,1,0,0,0,0,0,0,0,0
三民區,安泰里,3,3,3,7,6,6,11,4,5,0,1,1,1,0,0,0,0,1,0
岡山區,壽峰里,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0
左營區,明建里,2,1,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
前金區,青山里,0,1,0,0,0,0,0,4,0,2,1,0,1,0,0,0,0,0,0
前鎮區,明道里,2,0,2,0,6,0,2,2,5,4,0,0,0,0,0,0,0,0,0
苓雅區,普照里,0,2,4,0,1,1,4,1,0,3,1,0,0,1,0,0,1,0,0
橋頭區,橋頭里,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
苓雅區,福地里,0,1,0,3,1,6,12,9,1,1,3,1,2,2,0,0,0,0,0
大社區,觀音里,2,4,7,4,3,6,7,8,4,4,4,1,3,1,0,0,0,0,0
大寮區,琉球里,0,0,0,0,2,0,0,2,2,2,0,2,0,0,0,0,0,0,0
茄萣區,嘉泰里,0,0,1,3,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0
大樹區,三和里,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0
三民區,立業里,2,6,5,6,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0
大樹區,小坪里,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
湖內區,太爺里,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苓雅區,正仁里,5,1,0,0,1,2,3,2,3,1,2,1,1,0,0,0,0,0,0
鳳山區,國富里,1,0,0,1,1,1,2,5,0,0,0,0,0,0,1,1,0,0,0
鼓山區,壽山里,1,2,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
三民區,安發里,1,3,6,15,11,14,17,16,9,6,1,3,2,0,1,0,0,0,0
左營區,城南里,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
路竹區,竹東里,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
梓官區,大舍里,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
三民區,灣利里,2,9,10,5,5,5,7,3,1,1,0,1,0,0,0,0,0,0,1
前鎮區,瑞北里,0,0,0,1,1,6,8,15,6,7,2,5,2,0,0,0,0,0,0
鳳山區,新泰里,1,0,0,2,4,3,2,3,2,1,3,0,1,0,0,0,0,0,0
前鎮區,民權里,1,3,3,3,4,2,2,4,7,4,1,2,1,0,0,0,0,0,0
旗津區,振興里,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0
楠梓區,大昌里,1,1,3,3,1,1,1,3,2,3,0,0,0,0,0,0,0,0,0
茄萣區,嘉賜里,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
新興區,東坡里,0,0,2,0,3,1,1,3,2,0,1,1,0,0,0,0,0,0,0
三民區,寶興里,3,6,10,11,16,10,15,8,9,6,1,1,1,0,0,0,0,0,0
仁武區,仁慈里,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
前鎮區,振興里,2,2,6,2,3,9,5,8,2,6,1,1,0,0,0,0,0,0,0
鳳山區,鎮西里,0,0,1,3,7,6,3,12,5,6,3,1,0,3,1,1,0,0,0
前鎮區,德昌里,4,8,11,7,5,0,2,4,5,1,1,2,1,0,0,0,0,0,0
三民區,千歲里,5,7,4,1,2,1,5,2,2,0,0,0,0,0,0,1,0,0,0
左營區,中南里,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
新興區,正氣里,1,2,0,2,0,0,1,3,2,0,1,0,0,0,0,0,0,0,0
左營區,廟東里,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
鳳山區,福興里,1,0,8,8,6,11,13,17,11,13,1,2,2,0,1,0,0,0,0
楠梓區,錦屏里,2,0,4,5,1,4,2,4,1,1,1,0,0,0,0,0,0,0,0
鳳山區,大德里,2,5,5,11,18,16,25,13,5,2,1,1,0,0,1,0,0,0,0
苓雅區,博仁里,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
三民區,本安里,1,0,0,1,1,2,8,4,10,14,4,3,1,0,0,0,1,0,0
前鎮區,竹南里,4,11,6,8,13,4,11,6,4,0,2,4,0,3,1,1,0,0,0
苓雅區,林富里,0,1,2,0,0,2,0,1,1,1,1,0,0,0,0,0,0,0,0
岡山區,嘉興里,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
林園區,廣應里,0,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
鳳山區,國光里,0,0,1,0,0,5,2,11,6,5,8,1,0,0,0,0,0,0,0
燕巢區,西燕里,0,0,0,0,0,3,1,5,4,3,0,1,0,0,0,0,0,0,0
苓雅區,文昌里,5,2,3,2,3,2,7,2,2,2,0,0,1,0,0,0,0,0,0
三民區,鳳北里,5,4,1,7,1,4,1,1,1,0,0,0,0,0,0,0,0,0,0
苓雅區,安祥里,1,2,1,0,0,2,3,2,0,3,2,2,0,0,0,1,1,0,0
鳳山區,興中里,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
前金區,社西里,1,0,0,1,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0
苓雅區,鼓中里,1,7,4,4,3,8,4,2,2,1,0,0,1,0,0,0,0,0,0
楠梓區,中和里,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
苓雅區,城東里,1,1,2,5,2,1,2,1,3,3,0,0,0,0,0,0,0,0,0
苓雅區,林貴里,1,1,0,2,1,2,1,4,5,1,2,1,1,1,0,0,0,0,0
三民區,寶龍里,2,1,0,7,3,3,9,8,3,9,0,2,0,0,1,0,0,0,0
三民區,博愛里,1,0,1,2,3,5,3,6,3,2,1,1,0,0,0,0,0,0,0
楠梓區,久昌里,1,0,2,2,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0
鹽埕區,府北里,4,1,2,5,6,4,7,7,5,5,1,3,2,2,0,0,0,0,0
左營區,尾西里,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
茄萣區,白雲里,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
小港區,坪頂里,0,1,2,0,0,0,1,2,0,1,1,1,3,0,0,0,0,0,0
苓雅區,廣澤里,1,0,1,0,3,1,2,6,11,9,5,3,1,3,2,0,0,0,0
大樹區,井腳里,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
鳳山區,協和里,0,1,6,1,2,1,2,0,3,3,0,2,0,2,1,0,0,0,0
前鎮區,瑞隆里,0,1,0,4,1,5,7,18,7,5,5,3,4,0,0,0,0,0,0
湖內區,葉厝里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
苓雅區,林德里,0,0,0,2,1,4,1,5,4,6,0,0,0,0,0,0,0,0,0
苓雅區,福東里,0,1,1,0,3,5,6,0,8,0,4,1,1,0,1,0,1,0,1
湖內區,公舘里,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
苓雅區,正道里,3,3,2,7,0,5,9,9,4,9,6,5,2,1,0,0,0,0,0
苓雅區,田西里,2,3,5,2,1,1,3,4,1,1,0,0,0,0,0,0,0,0,0
鳳山區,中榮里,0,0,0,1,0,2,0,5,2,1,0,2,0,0,0,0,0,0,0
前鎮區,明義里,1,1,1,0,2,7,9,7,10,4,2,5,1,0,0,0,0,0,0
三民區,寶華里,2,3,2,1,2,4,4,4,0,3,1,1,0,0,0,0,0,0,0
三民區,本館里,6,5,10,9,3,10,7,17,14,10,2,0,4,0,0,1,0,0,0
三民區,安吉里,9,8,5,5,10,12,10,8,8,3,2,1,2,0,2,0,1,0,0
鳳山區,福誠里,0,1,3,4,1,1,9,10,7,1,1,1,1,1,0,0,0,0,0
湖內區,中賢里,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
大樹區,龍目里,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
茄萣區,大定里,4,2,0,3,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0
楠梓區,瑞屏里,0,2,2,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
三民區,安生里,0,1,1,0,3,2,12,7,8,3,3,2,2,1,1,0,0,0,0
大樹區,九曲里,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0
三民區,同德里,1,1,8,1,3,6,7,7,3,4,0,2,0,1,0,0,0,0,0
鹽埕區,陸橋里,0,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0
新興區,德生里,0,3,5,4,1,1,3,1,1,0,1,1,0,0,0,0,0,0,0
三民區,正順里,3,4,7,3,2,4,5,5,2,4,2,2,0,0,1,1,0,0,0
苓雅區,林圍里,1,5,2,4,1,1,0,3,4,0,0,0,1,0,0,0,0,0,0
小港區,高松里,0,2,0,0,0,5,3,3,4,4,5,4,3,0,0,0,0,0,0
鳳山區,善美里,1,0,2,3,4,12,14,19,4,5,5,8,0,2,0,0,0,0,0
前金區,長興里,1,0,0,1,0,0,1,1,0,0,4,1,0,0,0,0,0,0,0
三民區,興德里,3,5,4,1,3,2,3,1,1,1,0,0,0,0,0,0,0,0,0
前金區,北金里,1,0,0,2,0,2,0,1,1,1,0,1,0,0,1,0,0,0,0
彌陀區,舊港里,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
前鎮區,瑞平里,0,2,1,4,4,5,10,10,3,1,0,0,1,0,0,0,0,0,0
新興區,明莊里,1,1,1,0,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0
大寮區,三隆里,0,0,0,0,1,2,0,2,0,1,1,1,0,0,0,0,0,0,0
三民區,灣子里,1,1,4,7,5,5,8,5,2,2,1,2,0,2,0,0,0,0,0
三民區,十美里,1,1,7,3,2,4,4,3,2,1,0,0,0,0,0,0,0,1,0
三民區,建東里,1,1,4,2,3,0,2,0,0,2,1,0,0,0,0,0,0,0,0
苓雅區,福西里,3,1,1,1,1,2,2,2,3,4,2,0,0,1,1,0,0,0,0
